DD DC CD CC
267 243 253 237
248 236 259 257
261 257 226 256
265 251 207 277
274 231 233 262
268 221 242 269
294 208 227 271
259 218 212 311
251 221 202 326
299 209 200 292
294 208 195 303
293 213 216 278
287 205 210 298
303 184 186 327
288 180 196 336
315 180 165 340
325 162 172 341
313 160 189 338
322 181 154 343
334 144 152 370
350 166 140 344
331 152 169 348
327 167 144 362
361 141 144 354
337 159 141 363
363 153 124 360
354 131 159 356
373 121 140 366
356 154 115 375
352 129 138 381
353 122 139 386
352 141 131 376
377 122 120 381
363 116 133 388
374 118 135 373
374 122 101 403
365 110 119 406
372 123 110 395
398 87 91 424
379 106 108 407
389 112 99 400
370 117 97 416
401 81 96 422
389 90 112 409
395 77 98 430
396 97 83 424
382 99 91 428
402 70 94 434
390 84 79 447
396 84 76 444
398 77 91 434
409 81 78 432
409 72 76 443
413 72 68 447
395 90 76 439
404 64 63 469
417 71 55 457
408 64 77 451
409 77 71 443
417 72 64 447
419 62 60 459
424 63 59 454
413 58 64 465
411 66 72 451
422 63 51 464
412 63 63 462
417 57 58 468
421 55 48 476
431 43 50 476
424 57 52 467
428 39 48 485
421 52 58 469
424 57 47 472
425 44 56 475
430 55 43 472
430 41 42 487
432 44 45 479
424 62 37 477
431 42 48 479
431 35 46 488
436 36 49 479
434 34 47 485
433 51 35 481
440 35 43 482
431 41 47 481
444 32 32 492
446 24 40 490
444 40 31 485
447 32 37 484
437 35 41 487
437 35 37 491
449 34 29 488
446 29 30 495
450 21 30 499
449 29 23 499
446 34 35 485
436 44 31 489
446 37 32 485
445 30 23 502
436 25 33 506
442 38 27 493
447 25 33 495
449 27 30 494
447 23 29 501
443 32 27 498
446 26 32 496
453 28 15 504
446 24 24 506
443 32 24 501
451 23 29 497
447 16 27 510
442 31 25 502
446 26 23 505
448 22 30 500
451 19 22 508
455 21 21 503
452 22 17 509
447 18 25 510
455 18 20 507
452 21 18 509
453 25 17 505
448 25 21 506
459 16 17 508
459 15 16 510
449 27 20 504
456 25 17 502
451 27 18 504
457 14 20 509
458 18 15 509
458 24 20 498
455 25 13 507
448 17 29 506
451 24 15 510
450 20 18 512
451 18 15 516
460 16 10 514
458 15 11 516
453 10 26 511
457 15 17 511
452 16 22 510
458 15 15 512
464 14 13 509
456 13 14 517
458 19 10 513
452 15 16 517
458 10 17 515
459 18 13 510
464 15 13 508
456 14 14 516
459 17 13 511
460 12 11 517
456 13 16 515
457 11 17 515
461 19 8 512
458 8 13 521
455 14 14 517
453 17 14 516
460 13 14 513
461 11 9 519
460 6 10 524
458 10 18 514
456 13 12 519
462 12 11 515
460 4 14 522
460 7 14 519
461 14 12 513
461 11 10 518
463 7 7 523
463 9 10 518
459 9 18 514
464 15 9 512
463 12 12 513
467 10 9 514
466 6 8 520
465 10 5 520
461 7 10 522
458 12 8 522
458 9 12 521
469 4 8 519
465 6 5 524
468 4 6 522
466 9 4 521
461 14 16 509
467 11 3 519
466 7 4 523
463 8 6 523
464 6 8 522
463 7 10 520
462 11 6 521
465 7 9 519
466 4 6 524
465 9 8 518
463 8 5 524
465 5 10 520
465 8 3 524
465 6 5 524
464 12 5 519
460 13 7 520
467 4 3 526
463 8 6 523
462 6 10 522
464 11 4 521
468 4 8 520
466 6 7 521
463 8 7 522
462 13 4 521
467 7 4 522
465 6 4 525
468 2 10 520
468 6 7 519
464 8 9 519
465 5 7 523
464 8 8 520
469 4 4 523
465 5 7 523
467 4 5 524
464 5 8 523
465 7 4 524
467 8 1 524
465 6 5 524
468 4 4 524
466 3 6 525
463 11 6 520
465 4 5 526
465 10 2 523
462 6 10 522
467 2 7 524
469 5 4 522
466 5 4 525
468 3 3 526
466 5 3 526
464 6 7 523
469 4 2 525
465 4 5 526
466 5 6 523
468 5 3 524
466 5 5 524
469 4 4 523
467 6 5 522
466 6 3 525
466 9 2 523
464 8 6 522
464 4 6 526
463 4 6 527
465 5 5 525
466 4 3 527
467 5 1 527
465 4 3 528
466 3 2 529
466 4 4 526
465 7 6 522
466 4 4 526
465 4 9 522
466 10 2 522
468 5 3 524
468 2 3 527
469 3 0 528
466 1 7 526
467 2 2 529
464 9 0 527
465 1 7 527
468 1 5 526
468 3 3 526
469 1 4 526
467 2 4 527
467 2 6 525
465 4 4 527
467 4 2 527
465 3 4 528
468 2 2 528
467 2 5 526
466 4 3 527
468 3 0 529
469 6 1 524
469 1 2 528
466 2 6 526
464 1 6 529
465 2 4 529
468 3 2 527
466 3 2 529
467 1 1 531
470 0 2 528
470 3 3 524
466 3 5 526
466 1 8 525
466 5 1 528
469 4 3 524
468 1 4 527
469 1 3 527
467 4 1 528
470 1 3 526
468 3 0 529
468 3 2 527
469 2 3 526
466 4 2 528
468 1 3 528
469 2 2 527
467 2 4 527
467 4 2 527
468 4 2 526
