DD DC CD CC
236 239 260 265
255 257 239 249
315 173 190 322
346 152 143 359
348 128 156 368
389 114 109 388
399 102 102 397
389 102 99 410
418 64 90 428
403 76 85 436
425 67 59 449
425 68 56 451
430 59 54 457
436 54 49 461
436 45 44 475
453 36 31 480
458 38 35 469
460 30 32 478
464 22 33 481
458 24 29 489
468 24 18 490
465 27 23 485
472 14 22 492
462 23 22 493
470 15 28 487
473 16 18 493
476 19 12 493
470 20 18 492
474 15 17 494
477 15 17 491
480 10 11 499
479 16 13 492
482 9 14 495
482 14 7 497
480 9 14 497
485 11 8 496
479 3 20 498
484 7 8 501
487 6 6 501
483 10 8 499
481 10 9 500
486 8 7 499
484 9 8 499
487 5 5 503
490 3 6 501
485 10 6 499
488 7 6 499
485 6 6 503
488 4 7 501
487 6 6 501
490 4 4 502
489 4 4 503
492 1 4 503
488 7 3 502
489 3 4 504
488 6 2 504
488 7 3 502
490 2 4 504
489 3 2 506
492 3 3 502
489 3 4 504
489 1 4 506
491 5 2 502
491 1 4 504
488 3 4 505
489 4 3 504
490 4 4 502
489 4 0 507
493 2 2 503
490 3 1 506
488 4 0 508
490 1 3 506
490 3 2 505
490 2 2 506
488 2 4 506
491 2 1 506
490 3 1 506
490 0 3 507
490 0 3 507
491 2 3 504
491 2 0 507
489 2 4 505
493 0 1 506
492 2 3 503
491 1 1 507
491 1 2 506
489 2 2 507
489 3 1 507
492 0 1 507
491 1 0 508
491 1 2 506
491 1 2 506
491 1 1 507
490 2 3 505
490 0 3 507
490 1 2 507
491 2 1 506
490 1 2 507
491 1 1 507
491 0 3 506
491 1 1 507
492 1 0 507
492 0 0 508
492 2 0 506
492 0 1 507
491 0 1 508
492 1 0 507
491 1 0 508
492 0 0 508
492 0 0 508
490 2 0 508
492 0 0 508
492 2 1 505
492 0 0 508
492 0 2 506
491 1 0 508
490 0 3 507
491 2 0 507
492 0 0 508
492 0 0 508
492 0 1 507
491 0 1 508
491 0 1 508
492 1 0 507
492 0 0 508
492 0 0 508
491 1 0 508
490 1 1 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
491 1 0 508
492 1 0 507
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 1 507
491 0 1 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 1 507
492 0 0 508
492 0 0 508
492 0 0 508
491 2 0 507
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
491 0 1 508
492 0 0 508
492 0 0 508
492 0 1 507
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 1 0 507
492 0 0 508
491 1 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
492 0 0 508
