DD DC CD CC
243 248 246 263
255 262 226 257
264 255 243 238
267 250 224 259
256 251 231 262
257 235 258 250
293 227 234 246
264 244 222 270
266 246 236 252
277 216 249 258
268 236 244 252
238 231 254 277
253 240 234 273
239 240 244 277
246 257 222 275
253 246 217 284
270 222 213 295
277 238 239 246
259 238 225 278
268 235 227 270
270 222 251 257
254 254 210 282
257 228 251 264
274 200 231 295
265 230 253 252
280 208 231 281
268 212 217 303
268 227 225 280
258 225 222 295
255 220 254 271
283 223 217 277
281 241 214 264
255 218 230 297
258 229 214 299
281 227 206 286
276 220 225 279
244 218 238 300
261 215 219 305
277 217 228 278
274 234 214 278
259 221 228 292
263 233 216 288
268 207 231 294
275 222 227 276
278 202 222 298
298 200 215 287
288 197 228 287
284 197 226 293
273 228 219 280
282 221 198 299
272 226 210 292
257 211 223 309
278 205 225 292
300 222 206 272
293 210 203 294
279 224 204 293
296 194 211 299
271 204 200 325
277 212 210 301
276 208 224 292
294 197 188 321
291 191 212 306
283 207 186 324
292 219 188 301
285 202 209 304
260 241 202 297
299 192 203 306
292 182 217 309
271 196 213 320
298 191 196 315
307 179 220 294
281 213 186 320
290 199 214 297
299 188 176 337
298 210 184 308
296 185 184 335
305 181 177 337
322 192 169 317
292 185 210 313
307 210 186 297
305 176 183 336
290 208 182 320
289 192 193 326
304 166 214 316
293 186 188 333
299 193 186 322
335 147 191 327
301 197 194 308
317 183 175 325
297 184 204 315
295 206 176 323
316 199 166 319
300 173 199 328
301 187 192 320
280 214 171 335
316 175 176 333
302 186 167 345
300 169 192 339
335 173 152 340
311 171 185 333
324 157 185 334
296 180 197 327
310 194 158 338
305 171 188 336
314 180 166 340
305 177 172 346
322 192 174 312
310 168 173 349
320 164 159 357
316 168 177 339
340 160 148 352
313 187 162 338
311 172 155 362
326 164 171 339
330 157 182 331
297 172 185 346
326 167 178 329
331 166 152 351
327 167 151 355
327 172 163 338
323 142 177 358
322 171 148 359
333 164 163 340
321 177 152 350
309 174 177 340
317 154 152 377
314 150 167 369
336 167 142 355
347 141 158 354
329 160 150 361
325 154 150 371
323 152 155 370
334 154 154 358
341 145 150 364
334 149 149 368
342 156 134 368
347 128 160 365
343 147 135 375
347 136 149 368
333 142 162 363
342 128 136 394
349 153 132 366
336 153 157 354
346 142 127 385
341 143 138 378
329 142 137 392
348 130 156 366
323 144 141 392
332 138 129 401
332 121 159 388
355 142 137 366
346 120 151 383
361 139 143 357
335 143 143 379
343 135 145 377
355 120 137 388
343 152 137 368
332 137 136 395
343 146 124 387
334 132 145 389
369 135 116 380
354 118 152 376
351 124 144 381
335 125 141 399
347 128 143 382
347 132 127 394
367 123 121 389
348 128 121 403
351 124 137 388
373 121 118 388
371 113 119 397
357 120 139 384
360 114 141 385
366 127 139 368
374 130 102 394
370 130 104 396
373 108 117 402
361 118 128 393
369 111 114 406
373 126 104 397
361 128 117 394
380 112 126 382
370 119 115 396
362 111 113 414
363 116 121 400
362 128 103 407
375 100 125 400
353 109 124 414
359 120 126 395
380 109 114 397
382 114 102 402
363 119 113 405
392 110 103 395
385 121 100 394
377 95 125 403
371 108 117 404
353 115 131 401
372 115 112 401
375 96 113 416
361 118 124 397
388 103 106 403
385 113 94 408
374 108 108 410
387 88 113 412
363 130 111 396
363 110 118 409
373 106 94 427
381 99 112 408
377 115 90 418
378 101 124 397
378 110 103 409
400 102 88 410
385 108 99 408
377 103 98 422
388 97 100 415
368 110 104 418
387 104 105 404
384 106 97 413
398 98 94 410
372 117 106 405
384 95 109 412
387 93 89 431
383 101 97 419
386 102 97 415
414 92 86 408
383 103 100 414
389 111 104 396
384 96 96 424
385 98 94 423
389 90 98 423
399 91 100 410
395 86 80 439
391 78 109 422
396 84 100 420
389 82 84 445
401 84 79 436
388 83 105 424
390 95 80 435
391 94 95 420
402 95 91 412
403 70 81 446
379 97 105 419
392 91 96 421
395 77 97 431
379 95 95 431
381 92 87 440
406 87 76 431
377 85 100 438
397 86 85 432
397 74 98 431
392 82 84 442
394 83 82 441
405 79 87 429
393 101 84 422
399 86 76 439
405 80 85 430
399 77 92 432
406 81 92 421
399 85 69 447
394 83 81 442
406 75 95 424
403 89 79 429
413 85 67 435
416 82 70 432
394 89 82 435
395 83 98 424
396 83 84 437
406 77 66 451
401 90 77 432
427 73 61 439
422 69 72 437
402 80 70 448
411 80 63 446
414 65 73 448
411 82 73 434
397 86 81 436
399 84 92 425
412 63 70 455
411 79 78 432
420 67 66 447
407 86 76 431
422 70 80 428
424 70 67 439
406 81 66 447
412 76 80 432
421 81 74 424
397 73 88 442
418 72 61 449
410 71 75 444
415 68 70 447
409 74 75 442
415 73 78 434
423 73 72 432
410 71 61 458
401 80 81 438
401 63 80 456
417 61 67 455
405 89 67 439
417 64 65 454
405 67 78 450
