DD DC CD CC
250 251 247 252
251 247 259 243
371 146 134 349
373 128 139 360
421 79 79 421
429 74 77 420
443 65 58 434
463 48 47 442
462 40 38 460
463 40 34 463
473 23 27 477
469 22 21 488
475 18 21 486
481 18 12 489
479 16 16 489
482 12 11 495
480 11 13 496
489 8 10 493
480 6 11 503
486 7 6 501
479 5 12 504
487 4 5 504
487 5 1 507
490 4 3 503
489 3 5 503
487 6 1 506
489 0 5 506
490 3 0 507
492 1 3 504
489 3 2 506
490 2 2 506
490 3 2 505
489 3 3 505
491 1 2 506
488 4 1 507
489 0 2 509
489 0 4 507
491 2 0 507
491 1 1 507
490 1 1 508
490 0 1 509
488 2 3 507
490 1 1 508
490 2 1 507
490 1 1 508
490 1 1 508
490 0 2 508
490 3 1 506
490 2 1 507
491 1 1 507
491 0 0 509
490 1 0 509
490 2 1 507
491 0 1 508
490 2 0 508
490 0 1 509
490 1 0 509
490 0 1 509
490 1 0 509
490 1 0 509
490 0 1 509
490 0 1 509
490 1 0 509
490 2 0 508
491 0 0 509
491 0 1 508
490 1 1 508
491 0 0 509
491 0 0 509
491 1 0 508
490 0 1 509
491 0 0 509
490 1 0 509
491 0 1 508
490 0 2 508
491 1 0 508
491 0 0 509
491 0 1 508
492 0 0 508
490 1 0 509
491 0 0 509
491 1 0 508
491 0 0 509
491 0 0 509
491 1 0 508
491 1 0 508
490 1 1 508
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 1 508
491 1 0 508
491 0 0 509
490 0 1 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
490 0 1 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
490 1 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
490 1 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
491 0 0 509
