DD DC CD CC
245 259 236 260
233 234 258 275
324 175 146 355
332 137 157 374
369 128 112 391
378 95 99 428
386 93 87 434
405 72 84 439
407 80 68 445
415 59 57 469
422 53 58 467
429 44 52 475
428 40 49 483
442 33 40 485
443 42 31 484
443 27 38 492
442 33 24 501
446 26 28 500
452 20 27 501
451 24 22 503
450 23 22 505
451 22 19 508
457 20 16 507
459 9 22 510
460 20 12 508
465 16 7 512
464 10 17 509
461 14 12 513
467 13 10 510
469 11 9 511
464 14 8 514
468 8 8 516
463 14 7 516
470 6 13 511
466 8 10 516
471 12 5 512
465 6 13 516
467 5 9 519
472 4 6 518
474 6 5 515
468 11 5 516
475 5 3 517
473 5 8 514
470 6 6 518
471 9 3 517
470 6 7 517
474 3 5 518
475 5 2 518
473 1 6 520
476 3 3 518
475 0 4 521
473 4 5 518
476 3 2 519
476 4 4 516
476 2 1 521
474 2 3 521
475 2 2 521
477 2 1 520
476 1 1 522
475 5 0 520
476 1 1 522
476 1 4 519
475 2 2 521
476 2 1 521
476 1 2 521
476 1 4 519
475 1 3 521
474 0 5 521
475 0 3 522
475 1 3 521
475 2 2 521
475 3 1 521
478 0 1 521
478 0 1 521
475 2 2 521
475 4 1 520
476 1 1 522
476 1 2 521
477 1 1 521
478 0 0 522
478 1 0 521
477 1 0 522
477 0 1 522
478 0 0 522
477 1 0 522
476 1 1 522
477 0 0 523
477 1 0 522
477 0 2 521
477 2 0 521
477 1 0 522
476 0 1 523
477 1 0 522
477 0 1 522
477 1 0 522
477 0 0 523
477 0 1 522
476 1 1 522
477 1 0 522
477 0 0 523
477 0 1 522
476 3 0 521
478 0 1 521
477 2 0 521
478 1 0 521
478 0 0 522
478 0 0 522
477 0 1 522
477 1 0 522
478 0 0 522
478 0 1 521
477 0 1 522
477 1 0 522
477 1 0 522
478 0 0 522
477 0 0 523
477 0 0 523
477 0 0 523
477 0 1 522
477 0 1 522
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 1 0 522
477 0 2 521
477 0 1 522
477 0 1 522
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 1 0 522
477 0 0 523
477 0 0 523
478 0 0 522
477 0 1 522
477 0 0 523
477 0 0 523
477 0 1 522
477 0 0 523
477 0 0 523
478 0 0 522
477 1 0 522
477 1 0 522
477 0 1 522
477 0 0 523
477 1 0 522
477 0 0 523
477 1 0 522
477 0 0 523
477 1 0 522
477 0 1 522
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 1 522
477 0 1 522
477 0 0 523
477 0 0 523
477 0 0 523
477 1 0 522
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 1 522
477 1 0 522
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 1 0 522
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 1 0 522
477 0 0 523
477 0 0 523
477 0 1 522
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
477 0 0 523
